Age,Gender,Income_Level,Marital_Status,Education_Level,Occupation,Purchase_Category,Purchase_Amount,Frequency_of_Purchase,Purchase_Channel,Brand_Loyalty,Product_Rating,Time_Spent_on_Product_Research(hours),Social_Media_Influence,Discount_Sensitivity,Return_Rate,Customer_Satisfaction,Engagement_with_Ads,Device_Used_for_Shopping,Payment_Method,Discount_Used,Customer_Loyalty_Program_Member,Purchase_Intent,Shipping_Preference,Time_to_Decision,Segment,Days since last purchase
38,Male,High,Divorced,Bachelor's,Middle,Toys & Games,371.32,7,In-Store,4,4,0.7,Medium,Not Sensitive,2,1,,Tablet,Debit Card,True,True,Impulsive,Standard,6,other,452
37,Female,Middle,Single,Bachelor's,Middle,Software & Apps,461.0,7,Online,2,4,1.0,High,Not Sensitive,0,8,Low,Tablet,Cash,False,True,Wants-based,Standard,9,Solid customer,316
33,Female,High,Married,Bachelor's,High,Food & Beverages,253.37,6,In-Store,4,1,1.0,,Very Sensitive,2,10,High,Tablet,Other,True,False,Impulsive,Standard,8,Regular,148
37,Male,High,Widowed,High School,High,Packages),136.53,3,Mixed,2,4,2.0,High,Not Sensitive,1,3,High,Smartphone,PayPal,True,True,Planned,Standard,10,other,356
31,Female,Middle,Single,Master's,Middle,Arts & Crafts,489.05,10,Online,5,3,0.0,High,Somewhat Sensitive,2,2,High,Desktop,PayPal,True,True,Planned,Standard,7,Solid customer,260
50,Male,High,Single,Master's,High,Electronics,81.91,10,In-Store,3,4,1.0,Medium,Very Sensitive,0,4,,Desktop,Debit Card,False,True,Need-based,Express,2,Regular,302
50,Male,Middle,Married,Bachelor's,Middle,Arts & Crafts,135.8,2,In-Store,2,5,1.0,Low,Somewhat Sensitive,1,2,High,Desktop,Debit Card,False,True,Planned,No Preference,9,other,187
45,Female,Middle,Widowed,High School,Middle,Health Supplements,382.24,12,In-Store,1,5,1.0,High,Very Sensitive,1,4,High,Tablet,PayPal,True,True,Planned,Standard,3,Solid customer,320
33,Female,High,Married,Bachelor's,Middle,Gardening & Outdoors,354.7,5,Online,4,2,0.0,,Very Sensitive,2,7,,Smartphone,Other,True,False,Planned,Express,12,At risk,467
24,Male,High,Divorced,Bachelor's,High,Mobile Accessories,433.82,6,Online,3,2,1.0,Medium,Somewhat Sensitive,0,8,Medium,Desktop,Other,False,True,Planned,Express,10,Solid customer,327
39,other,High,Married,Bachelor's,Middle,Mobile Accessories,282.13,5,Mixed,4,5,1.0,,Somewhat Sensitive,1,2,,Tablet,Other,True,False,Need-based,Standard,9,other,482
48,Male,High,Widowed,High School,Middle,Mobile Accessories,454.38,10,Online,3,4,0.0,,Somewhat Sensitive,0,10,Medium,Smartphone,PayPal,True,False,Impulsive,No Preference,7,Solid customer,341
25,Male,Middle,Married,High School,High,Mobile Accessories,138.88,7,In-Store,2,4,1.0,,Not Sensitive,1,3,,Tablet,Cash,True,False,Planned,No Preference,4,other,348
30,Female,High,Single,Bachelor's,High,Books,52.34,6,In-Store,3,4,1.0,Low,Somewhat Sensitive,1,5,Medium,Tablet,PayPal,True,True,Planned,Express,13,other,366
34,Male,Middle,Single,Bachelor's,High,Groceries,338.2,7,Online,3,5,0.0,,Not Sensitive,1,9,Medium,Tablet,Other,True,False,Wants-based,Standard,7,other,263
21,Female,Middle,Widowed,High School,Middle,Toys & Games,263.15,3,In-Store,1,5,1.0,High,Somewhat Sensitive,1,10,High,Tablet,Other,True,False,Impulsive,Express,10,other,444
36,Female,Middle,Married,Master's,Middle,Software & Apps,371.58,2,Mixed,2,1,2.0,High,Not Sensitive,0,10,,Smartphone,Cash,True,True,Wants-based,No Preference,11,other,251
30,Male,Middle,Widowed,Bachelor's,Middle,Health Care,353.4,2,Online,2,3,2.0,Medium,Very Sensitive,0,1,Low,Tablet,Credit Card,False,True,Impulsive,No Preference,3,other,167
46,Female,Middle,Divorced,High School,High,Software & Apps,329.41,5,In-Store,5,3,0.0,Medium,Somewhat Sensitive,1,1,High,Desktop,Cash,True,True,Need-based,No Preference,2,Regular,213
46,Female,Middle,Married,Master's,Middle,Food & Beverages,54.46,5,Online,4,5,1.0,High,Not Sensitive,1,1,Low,Tablet,Other,False,False,Impulsive,Standard,1,other,186
43,Male,High,Widowed,Master's,Middle,Books,257.12,8,Online,2,1,0.0,High,Not Sensitive,2,1,High,Smartphone,Other,True,False,Impulsive,No Preference,11,other,302
43,Male,High,Divorced,Bachelor's,Middle,Arts & Crafts,293.04,11,In-Store,4,2,1.0,,Very Sensitive,1,3,Low,Desktop,PayPal,True,False,Planned,Standard,6,Can't lose,445
34,Male,High,Single,Master's,High,Books,110.4,12,Mixed,5,1,2.0,,Somewhat Sensitive,1,3,Medium,Tablet,Debit Card,False,False,Need-based,Standard,12,Regular,190
42,Female,Middle,Married,Master's,High,Mobile Accessories,76.27,4,In-Store,2,3,0.0,,Not Sensitive,0,8,Medium,Smartphone,Credit Card,True,False,Wants-based,Standard,10,other,149
40,Female,High,Widowed,Bachelor's,Middle,Toys & Games,392.08,6,Online,2,5,1.0,,Very Sensitive,2,7,High,Tablet,Other,True,True,Need-based,Express,6,other,291
25,Female,High,Married,Bachelor's,High,Toys & Games,51.22,6,Online,2,1,0.0,,Very Sensitive,1,5,Medium,Tablet,Cash,True,True,Planned,Standard,5,other,270
38,Male,Middle,Divorced,Bachelor's,High,Clothing,227.57,2,Online,1,2,0.0,High,Somewhat Sensitive,1,6,,Tablet,PayPal,False,True,Wants-based,No Preference,14,other,278
46,Female,Middle,Widowed,Bachelor's,Middle,Groceries,378.87,7,Online,1,2,0.0,,Very Sensitive,1,2,Low,Tablet,PayPal,True,False,Planned,No Preference,5,other,416
24,Female,Middle,Widowed,High School,High,Beauty & Personal Care,423.92,8,Mixed,3,1,2.0,Low,Somewhat Sensitive,0,9,High,Tablet,Credit Card,False,True,Need-based,Standard,8,Solid customer,271
43,other,High,Widowed,Master's,Middle,Arts & Crafts,111.24,9,Mixed,5,2,0.0,Medium,Somewhat Sensitive,0,2,High,Smartphone,Credit Card,True,False,Need-based,No Preference,12,other,289
37,Female,Middle,Single,Bachelor's,Middle,Travel & Leisure (Flights,299.31,7,Mixed,2,4,1.0,Medium,Very Sensitive,2,3,,Desktop,Debit Card,True,False,Need-based,Express,3,At risk,476
42,Male,Middle,Widowed,Master's,Middle,Animal Feed,169.28,7,Mixed,4,4,1.0,,Somewhat Sensitive,2,1,Low,Tablet,Cash,True,True,Impulsive,No Preference,6,other,339
29,Male,Middle,Widowed,High School,High,Office Supplies,449.13,9,In-Store,2,1,0.5,Medium,Not Sensitive,2,2,Low,Tablet,Credit Card,False,False,Planned,No Preference,14,Solid customer,344
35,Female,High,Married,Master's,High,Animal Feed,427.48,6,Online,4,2,0.0,Medium,Not Sensitive,1,1,Low,Smartphone,Debit Card,True,False,Impulsive,Standard,11,Solid customer,157
27,Female,Middle,Single,High School,High,Sports & Outdoors,171.61,3,Online,3,1,2.0,Low,Very Sensitive,1,6,High,Desktop,Credit Card,True,False,Planned,Express,8,other,203
40,Female,High,Married,Bachelor's,High,Books,240.28,3,Online,3,5,2.0,High,Not Sensitive,2,7,Medium,Tablet,Cash,True,True,Impulsive,Standard,4,other,166
34,Female,High,Single,High School,High,Furniture,310.17,6,In-Store,2,3,2.0,Medium,Very Sensitive,0,10,,Smartphone,Debit Card,False,False,Wants-based,No Preference,13,At risk,453
25,Female,Middle,Married,Bachelor's,Middle,Hotels,166.0,10,Online,5,3,0.0,High,Not Sensitive,2,10,Medium,Smartphone,PayPal,False,False,Impulsive,Express,5,other,345
38,Male,High,Divorced,Bachelor's,High,Baby Products,362.01,2,In-Store,2,4,1.0,,Somewhat Sensitive,2,1,Medium,Tablet,Debit Card,False,False,Impulsive,Express,1,other,179
33,other,High,Married,Bachelor's,Middle,Travel & Leisure (Flights,348.5,3,Mixed,2,3,2.0,,Not Sensitive,0,6,Medium,Smartphone,Debit Card,False,False,Planned,No Preference,8,other,317
32,Female,Middle,Married,Bachelor's,High,Animal Feed,395.97,9,In-Store,1,4,0.0,Medium,Very Sensitive,1,6,Low,Tablet,Debit Card,True,True,Wants-based,Standard,1,Solid customer,277
50,Female,Middle,Widowed,High School,Middle,Sports & Outdoors,474.99,9,Online,2,4,1.0,,Somewhat Sensitive,0,8,High,Desktop,Credit Card,True,False,Planned,Standard,5,Solid customer,316
35,Female,Middle,Widowed,High School,Middle,Luxury Goods,286.43,4,Mixed,1,3,0.0,High,Very Sensitive,2,3,,Desktop,Cash,True,False,Wants-based,Express,14,other,314
19,other,High,Widowed,High School,High,Health Care,333.32,8,Online,1,5,0.0,Low,Very Sensitive,0,3,High,Smartphone,Credit Card,True,False,Planned,No Preference,3,Solid customer,229
46,other,High,Single,Master's,High,Electronics,223.47,9,Mixed,2,1,1.0,High,Somewhat Sensitive,0,2,,Tablet,Debit Card,True,True,Need-based,Standard,8,Regular,244
23,Male,Middle,Divorced,Master's,Middle,Sports & Outdoors,414.83,2,Mixed,2,4,0.5,High,Somewhat Sensitive,2,4,High,Desktop,Credit Card,False,False,Planned,Express,8,Regular,310
34,Female,High,Widowed,Master's,High,Books,391.38,5,In-Store,5,2,2.0,Low,Not Sensitive,0,7,Low,Tablet,Other,False,False,Need-based,No Preference,8,At risk,415
48,Male,Middle,Divorced,Bachelor's,High,Furniture,368.4,11,Online,2,5,1.0,High,Not Sensitive,0,3,High,Desktop,Credit Card,False,False,Need-based,No Preference,13,Solid customer,335
27,other,Middle,Widowed,High School,Middle,Furniture,328.36,11,In-Store,1,4,2.0,High,Very Sensitive,0,4,,Tablet,Cash,False,True,Wants-based,Express,4,Can't lose,437
37,Female,Middle,Divorced,Bachelor's,Middle,Home Appliances,424.39,9,Mixed,3,1,1.0,High,Somewhat Sensitive,0,7,Low,Smartphone,Credit Card,True,False,Wants-based,No Preference,13,Can't lose,451
47,Male,High,Married,High School,High,Health Supplements,197.12,10,In-Store,4,4,0.0,Low,Somewhat Sensitive,1,1,Medium,Tablet,Other,True,True,Wants-based,Standard,10,other,342
45,Male,High,Single,Bachelor's,High,Books,454.57,9,Mixed,2,5,1.0,Low,Somewhat Sensitive,0,1,Medium,Smartphone,Debit Card,True,True,Wants-based,Express,1,Can't lose,424
37,Male,Middle,Divorced,High School,High,Electronics,298.38,4,Mixed,3,4,2.0,High,Very Sensitive,0,2,Low,Tablet,Cash,False,True,Need-based,Standard,3,other,390
36,Male,High,Divorced,High School,High,Clothing,111.7,6,Online,4,5,0.0,Medium,Somewhat Sensitive,2,5,High,Tablet,Credit Card,False,False,Planned,Standard,7,other,196
34,Male,Middle,Married,Bachelor's,Middle,Clothing,373.69,10,Online,3,2,2.0,Medium,Not Sensitive,1,8,,Tablet,Credit Card,False,True,Impulsive,Express,14,Solid customer,169
37,Male,High,Widowed,Master's,Middle,Jewelry & Accessories,354.87,5,In-Store,1,1,0.0,,Not Sensitive,2,4,,Desktop,Cash,False,True,Planned,Express,12,At risk,399
18,Female,Middle,Widowed,Bachelor's,High,Mobile Accessories,214.48,2,Online,4,2,2.0,,Very Sensitive,1,3,,Tablet,Cash,True,True,Wants-based,Express,2,other,396
20,Male,High,Divorced,Bachelor's,Middle,Software & Apps,399.58,6,In-Store,3,4,0.0,,Very Sensitive,1,8,Low,Tablet,Other,True,False,Need-based,Standard,7,other,239
27,Female,High,Widowed,High School,Middle,Luxury Goods,380.99,7,Mixed,1,2,1.0,Low,Somewhat Sensitive,0,1,Medium,Desktop,Cash,True,True,Need-based,No Preference,8,other,164
36,Male,Middle,Married,High School,High,Food & Beverages,79.0,10,Online,1,2,1.0,Medium,Very Sensitive,2,6,Low,Smartphone,Cash,False,True,Planned,Standard,7,Regular,250
46,Female,Middle,Married,Bachelor's,Middle,Groceries,113.88,2,Online,5,2,2.0,Medium,Not Sensitive,2,4,High,Tablet,PayPal,False,False,Wants-based,Express,9,other,419
26,Male,Middle,Married,High School,Middle,Travel & Leisure (Flights,121.57,4,Mixed,1,5,0.0,High,Not Sensitive,0,4,High,Desktop,Other,False,True,Impulsive,No Preference,13,other,350
21,Female,High,Divorced,High School,Middle,Health Supplements,215.54,11,Online,3,1,2.0,Low,Somewhat Sensitive,2,6,High,Desktop,Credit Card,True,True,Planned,No Preference,10,other,409
43,Male,High,Married,Bachelor's,High,Furniture,87.03,10,Mixed,1,1,0.0,Low,Very Sensitive,1,5,High,Desktop,PayPal,False,True,Need-based,No Preference,7,Regular,284
19,Male,High,Divorced,High School,High,Travel & Leisure (Flights,111.75,4,In-Store,1,4,0.0,High,Not Sensitive,1,6,High,Tablet,Debit Card,False,True,Impulsive,Standard,8,other,224
41,Female,High,Widowed,Master's,High,Office Supplies,136.2,2,Mixed,3,2,2.0,Low,Not Sensitive,0,1,High,Tablet,PayPal,True,True,Need-based,Express,9,other,341
48,Male,Middle,Married,High School,Middle,Food & Beverages,439.31,4,In-Store,3,2,1.0,Medium,Very Sensitive,0,6,Medium,Smartphone,Debit Card,False,True,Wants-based,No Preference,7,other,284
19,Female,Middle,Married,Bachelor's,Middle,Health Care,194.93,9,Online,4,4,1.0,High,Somewhat Sensitive,0,4,,Tablet,Other,True,True,Impulsive,No Preference,5,At risk,420
29,Male,Middle,Widowed,Master's,High,Food & Beverages,377.67,8,Online,5,3,0.0,,Very Sensitive,2,1,High,Desktop,PayPal,True,False,Need-based,No Preference,14,Can't lose,374
26,other,High,Single,Master's,High,Beauty & Personal Care,108.61,10,In-Store,3,2,0.0,,Very Sensitive,0,3,Low,Smartphone,Cash,True,True,Need-based,No Preference,14,Regular,180
20,Female,Middle,Married,Bachelor's,Middle,Health Care,366.77,7,Mixed,4,3,2.0,Low,Not Sensitive,0,9,,Smartphone,Debit Card,False,False,Impulsive,Standard,1,other,246
31,Female,High,Divorced,Master's,Middle,Jewelry & Accessories,178.04,5,In-Store,5,1,2.0,Medium,Somewhat Sensitive,0,5,High,Tablet,Credit Card,False,False,Need-based,No Preference,12,other,310
23,Female,High,Divorced,High School,High,Toys & Games,461.09,8,Online,4,1,0.0,Medium,Somewhat Sensitive,0,4,Medium,Smartphone,Debit Card,True,False,Need-based,No Preference,8,Solid customer,292
19,Female,High,Single,High School,Middle,Hotels,211.16,5,In-Store,2,3,1.0,High,Very Sensitive,0,3,,Smartphone,PayPal,False,False,Planned,Standard,2,other,328
23,Female,Middle,Widowed,Bachelor's,High,Animal Feed,421.95,8,Mixed,3,5,0.0,Medium,Not Sensitive,1,1,,Smartphone,Other,False,True,Need-based,No Preference,7,Can't lose,430
49,Female,Middle,Divorced,Bachelor's,High,Furniture,378.59,5,Online,2,1,0.0,,Somewhat Sensitive,0,4,High,Desktop,Other,False,False,Wants-based,No Preference,14,Regular,219
23,other,High,Divorced,High School,High,Office Supplies,268.93,2,Mixed,5,5,1.0,Medium,Very Sensitive,1,3,,Tablet,Debit Card,False,False,Impulsive,Express,8,other,180
42,Male,Middle,Divorced,Bachelor's,High,Health Care,444.87,11,Online,5,4,0.0,Medium,Not Sensitive,1,8,Low,Desktop,Other,False,False,Wants-based,No Preference,7,Top customer,174
18,Female,High,Widowed,Bachelor's,High,Beauty & Personal Care,160.82,7,In-Store,3,1,1.0,High,Somewhat Sensitive,0,1,High,Smartphone,Cash,True,True,Wants-based,No Preference,3,other,317
35,Male,High,Single,Master's,Middle,Hotels,494.18,6,Mixed,4,5,1.0,Medium,Not Sensitive,1,2,,Desktop,Cash,False,False,Need-based,Standard,14,Solid customer,292
22,Male,Middle,Single,Bachelor's,Middle,Home Appliances,177.05,5,Online,3,1,1.0,,Somewhat Sensitive,2,1,Low,Tablet,Cash,True,True,Impulsive,Standard,1,other,169
28,Female,Middle,Married,Master's,High,Food & Beverages,450.66,7,In-Store,2,5,0.0,High,Somewhat Sensitive,2,4,Medium,Tablet,Credit Card,False,True,Need-based,No Preference,9,Solid customer,343
42,Female,High,Married,Bachelor's,Middle,Arts & Crafts,164.27,6,Online,5,3,2.0,High,Not Sensitive,2,7,Low,Desktop,PayPal,True,False,Wants-based,No Preference,14,other,313
37,Female,Middle,Widowed,Master's,High,Food & Beverages,346.36,12,Mixed,4,5,0.0,Medium,Somewhat Sensitive,0,7,Medium,Smartphone,Credit Card,False,False,Need-based,Standard,14,Solid customer,260
33,Female,Middle,Widowed,High School,High,Animal Feed,377.77,9,Mixed,4,2,1.0,Medium,Not Sensitive,1,5,Medium,Tablet,Credit Card,True,True,Impulsive,Standard,3,Solid customer,269
46,Female,Middle,Widowed,High School,Middle,Travel & Leisure (Flights,163.41,2,In-Store,5,5,2.0,Low,Not Sensitive,1,8,High,Desktop,Other,True,True,Need-based,Express,4,other,452
30,Female,Middle,Divorced,Master's,Middle,Hotels,467.58,10,Mixed,1,2,0.0,,Somewhat Sensitive,1,6,Low,Desktop,PayPal,True,True,Wants-based,Standard,7,Can't lose,402
39,Female,Middle,Widowed,Bachelor's,High,Books,247.51,10,Mixed,2,1,2.0,Low,Somewhat Sensitive,1,8,Low,Tablet,Credit Card,True,False,Impulsive,Standard,2,Solid customer,325
25,Female,Middle,Single,High School,High,Office Supplies,365.1,3,In-Store,2,3,0.0,,Not Sensitive,1,3,High,Desktop,Debit Card,False,True,Wants-based,No Preference,1,other,265
38,Female,High,Single,Master's,Middle,Health Care,485.42,5,Online,1,2,2.0,High,Somewhat Sensitive,1,6,High,Desktop,Other,True,False,Wants-based,No Preference,4,other,190
41,Female,Middle,Widowed,Bachelor's,High,Health Care,250.54,4,In-Store,3,3,1.0,High,Not Sensitive,2,10,,Desktop,Credit Card,False,False,Wants-based,No Preference,3,other,146
49,Female,Middle,Divorced,High School,High,Jewelry & Accessories,163.14,5,Mixed,5,4,0.0,Low,Somewhat Sensitive,1,2,,Desktop,Debit Card,True,True,Planned,No Preference,1,other,288
21,Male,High,Divorced,Bachelor's,Middle,Gardening & Outdoors,162.31,8,In-Store,5,1,1.0,High,Very Sensitive,1,2,Medium,Tablet,Credit Card,False,False,Need-based,No Preference,11,Regular,229
37,Male,Middle,Widowed,Master's,High,Office Supplies,328.21,7,Mixed,5,5,2.0,Low,Not Sensitive,2,2,Low,Smartphone,Credit Card,False,False,Need-based,No Preference,12,other,463
30,Female,High,Married,Master's,High,Sports & Outdoors,268.59,4,Online,3,3,1.0,High,Very Sensitive,1,1,Medium,Desktop,Debit Card,True,True,Need-based,Standard,3,other,412
18,Female,High,Divorced,High School,High,Electronics,257.37,7,Online,3,3,0.0,Medium,Very Sensitive,2,5,Medium,Smartphone,PayPal,True,False,Wants-based,Express,13,At risk,476
41,Female,Middle,Single,High School,High,Office Supplies,205.49,4,In-Store,5,3,2.0,Low,Somewhat Sensitive,2,2,High,Tablet,Cash,True,False,Need-based,Express,11,other,194
40,Male,High,Divorced,Master's,High,Mobile Accessories,407.91,7,In-Store,2,5,0.0,Low,Not Sensitive,0,5,Low,Tablet,Other,True,True,Need-based,Standard,14,other,339
33,Female,High,Divorced,Bachelor's,High,Food & Beverages,254.73,6,Online,4,3,0.0,Medium,Very Sensitive,0,3,Low,Smartphone,Other,True,True,Impulsive,Express,3,Regular,355
30,Female,Middle,Divorced,Bachelor's,High,Clothing,397.78,12,Online,3,3,1.0,Medium,Not Sensitive,2,7,Medium,Smartphone,PayPal,False,True,Impulsive,No Preference,11,Solid customer,240
33,Female,High,Married,Bachelor's,High,Electronics,305.29,3,Online,2,3,1.0,Medium,Very Sensitive,1,8,Medium,Desktop,Debit Card,True,True,Impulsive,Standard,10,other,259
45,Male,Middle,Divorced,High School,High,Food & Beverages,257.86,6,Online,2,2,0.0,,Somewhat Sensitive,0,4,High,Tablet,PayPal,True,True,Need-based,Express,1,Regular,344
42,Female,High,Single,High School,Middle,Jewelry & Accessories,393.45,12,In-Store,3,1,0.0,Low,Somewhat Sensitive,2,10,Medium,Desktop,Credit Card,False,False,Need-based,Express,12,Solid customer,228
30,Male,High,Married,Bachelor's,Middle,Health Supplements,58.49,6,Online,2,2,0.0,Medium,Very Sensitive,0,8,High,Tablet,Other,True,True,Planned,Express,7,other,297
42,Male,Middle,Single,High School,Middle,Beauty & Personal Care,226.48,11,In-Store,5,3,2.0,,Not Sensitive,2,7,High,Tablet,Debit Card,True,False,Need-based,Express,11,other,216
26,Female,High,Single,Master's,Middle,Health Care,469.22,6,In-Store,1,1,1.0,High,Not Sensitive,0,1,Low,Tablet,Credit Card,False,False,Wants-based,No Preference,7,Solid customer,288
42,Female,High,Divorced,High School,High,Jewelry & Accessories,335.32,6,Mixed,3,3,1.0,,Not Sensitive,0,1,Low,Desktop,Other,True,False,Planned,No Preference,10,other,283
31,Male,High,Divorced,High School,Middle,Animal Feed,184.74,5,In-Store,4,4,0.0,Medium,Very Sensitive,1,5,High,Tablet,Debit Card,False,True,Impulsive,No Preference,10,other,176
37,other,High,Divorced,Bachelor's,Middle,Travel & Leisure (Flights,442.18,5,In-Store,4,3,1.0,,Very Sensitive,2,10,High,Smartphone,PayPal,False,False,Impulsive,Express,12,other,483
49,Male,High,Married,High School,Middle,Health Supplements,427.1,8,Mixed,1,2,1.0,High,Somewhat Sensitive,0,2,Medium,Desktop,PayPal,False,True,Planned,No Preference,5,Can't lose,377
34,Male,High,Widowed,High School,High,Home Appliances,326.82,4,Mixed,3,2,1.0,High,Somewhat Sensitive,2,5,Medium,Tablet,Credit Card,True,False,Planned,Standard,4,At risk,395
41,Male,High,Widowed,High School,Middle,Hotels,98.97,12,In-Store,2,5,2.0,,Very Sensitive,1,7,High,Tablet,Other,True,True,Impulsive,No Preference,11,At risk,429
33,Male,High,Single,High School,High,Health Care,77.65,6,Online,1,4,1.0,Medium,Somewhat Sensitive,2,3,,Tablet,Cash,True,True,Planned,No Preference,1,other,484
47,Female,Middle,Widowed,Master's,High,Electronics,85.61,2,Online,4,2,1.0,High,Not Sensitive,1,3,Low,Desktop,Other,True,True,Need-based,Standard,5,other,230
47,Male,High,Widowed,High School,High,Food & Beverages,164.79,4,In-Store,3,2,0.0,,Somewhat Sensitive,2,5,High,Tablet,Credit Card,True,True,Impulsive,No Preference,1,other,364
29,Female,High,Widowed,High School,High,Health Supplements,235.46,10,In-Store,3,4,2.0,,Not Sensitive,0,7,,Desktop,Credit Card,False,True,Impulsive,No Preference,2,Solid customer,190
36,Female,High,Widowed,Master's,Middle,Books,245.14,4,Online,4,5,1.0,High,Very Sensitive,1,4,Medium,Smartphone,PayPal,True,False,Impulsive,Standard,3,other,445
43,Male,High,Divorced,Bachelor's,Middle,Toys & Games,439.91,5,Online,1,4,2.0,Low,Somewhat Sensitive,0,9,Medium,Smartphone,Other,False,False,Need-based,Express,10,other,445
31,Male,High,Widowed,High School,High,Home Appliances,309.22,5,Mixed,3,5,2.0,Low,Not Sensitive,2,4,,Tablet,Cash,False,False,Planned,Standard,10,other,424
27,Male,Middle,Widowed,Master's,Middle,Groceries,146.59,10,Mixed,5,1,2.0,Low,Very Sensitive,0,2,,Smartphone,Cash,False,True,Impulsive,No Preference,3,other,486
48,Male,Middle,Single,High School,Middle,Hotels,298.73,4,Online,1,5,1.0,High,Not Sensitive,0,2,Low,Tablet,Debit Card,False,True,Need-based,No Preference,4,other,201
